sender_domain,email_count
@bounce.linkedin.com,572
@bounce.nytimes.com,417
@tylerwalts.com,188
@costco-mccormick-offers.us,166
@in.constantcontact.com,165
@costco-rastelli-offers.us,161
@cloudstorageflow-alerts.com,142
@facebookmail.com,139
@cloudstorage-alerts.us,119
@eu-west-1.amazonses.com,117
@em270.givesignup.org,111
@lowes-gorilla-offers.us,108
@e.email.meetup.com,103
@lowes.com,102
@email.bestbuy.com,91
@4452.com,87
@amazonses.squaremktg.com,79
@sg-email.robinhood.com,78
@apertaqual.com,74
@harborfreight-offers.us,72
@costco.com,69
@em5257.electriclettuce.com,67
@mail.cafepress.com,64
@futurehealth.food,63
@em1244.email.monarch.com,63
@bounce.snacks.robinhood.com,63
@gmail.com,63
@medvi.com,63
@em-495090.chicagoshakes.com,59
@mg-d0.substack.com,59
@accountprotection.microsoft.com,57
@mlsend.com,55
@localhost.localdomain,54
@futurehealthy.living,54
@microsoft.com,51
@k3.email.aswemove.com,51
@fedex.fr,50
@mg-d1.substack.com,49
@mail188.suw16.rsgsv.net,49
@cloudshopd.com,48
@healthfuture.living,48
@info.m1.com,47
@securecloud.com,46
@sephora-lancome-offers.us,46
@em.officedepot.com,45
@mgs.opentable.com,45
@cloudvault.com,44
@e.newyorktimes.com,43
@codevl.com,43
@bounce.email-nmss.org,43
@mg2.substack.com,42
@today.com,42
@slashirl.com,42
@cleanwenelite.com,42
@rtpbolaslot66.com,40
@cloud-storage-alerts.com,40
@clearkjo.com,40
@gekkstoyou.com,40
@cleanvvzone.com,40
@abmail.email.etsy.com,40
@tagsley.com,39
@carzxw.com,39
@usps.com,39
@mdsabujsarker.com,38
@sent.com,37
@computingmi.co.uk,36
@datastreamk.com,36
@mohrimpactmail.net,35
@mohrimpactcopy.net,35
@redehd.com,35
@bounce.eg.expedia.com,35
@send.tillysveaas.co.uk,34
@mail62.suw131.mcsv.net,34
@cloudsofta.com,34
@blueheartz.com,34
@cakeqo.com,33
@bounce.shareholderdocs.fidelity.com,33
@marketing.pocketoutdoormedia.com,33
@em1249.emails.thanx.com,32
@smrtnumber.com,32
@mail75.atl18.mcdlv.net,31
@h5.hilton.com,31
@amazonses.com,30
@updates.xfinity.com,30
@omahasteaks.com,30
@aarp-survey-offers.us,30
@sangramautocomp.com,30
@maccrackerz.com,29
@patatula.com,28
@dziennik.pl,27
@netceiling.com,27
@aaa-emergency-offers.us,27
